max_total_agent_capacity,algorithm,random_seed,utilitarian_value,egalitarian_value,runtime
12,high_multiplicity_fair_allocation,0,52.19512195121952,48.78048780487805,0.9732795000000003
12,high_multiplicity_fair_allocation,1,52.19512195121952,48.78048780487805,0.12460990000000116
12,high_multiplicity_fair_allocation,2,52.19512195121952,48.78048780487805,0.10311480000000017
12,high_multiplicity_fair_allocation,3,51.707317073170735,48.78048780487805,0.4801547999999993
12,high_multiplicity_fair_allocation,4,52.19512195121952,48.78048780487805,0.1393331
12,high_multiplicity_fair_allocation,5,52.19512195121952,48.78048780487805,0.15496649999999867
12,high_multiplicity_fair_allocation,6,51.707317073170735,48.78048780487805,0.4530257999999989
12,high_multiplicity_fair_allocation,7,52.19512195121952,48.78048780487805,0.09114070000000041
12,high_multiplicity_fair_allocation,8,52.19512195121952,48.78048780487805,0.13508090000000017
12,high_multiplicity_fair_allocation,9,52.19512195121952,48.78048780487805,0.17982929999999975
12,high_multiplicity_fair_allocation,10,52.19512195121952,48.78048780487805,0.11834819999999979
12,high_multiplicity_fair_allocation,11,52.19512195121952,48.78048780487805,0.9326843999999994
12,high_multiplicity_fair_allocation,12,52.19512195121952,48.78048780487805,0.9834470999999994
